Date,Liquefied U.S. Natural Gas Exports by Vessel (MMcf),Liquefied U.S. Natural Gas Exports by Vessel to Belgium (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Croatia (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to France (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessels to Greece (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Italy (MMcf),Liquefied U.S. Natural Gas Exports by Vessel to Lithuania (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Netherlands (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Poland (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Portugal (Million Cubic Feet),U.S. Liquefied Natural Gas Exports by Vessel to Spain (Million Cubic Feet),Liquefied U.S. Natural Gas Exports by Vessel to Turkey (MMcf),Liquefied U.S. Natural Gas Exports by Vessel to United Kingdom (MMcf),Nato Exports by Vessel
2019-01-15,126854.0,0.0,0.0,7303.0,0.0,10502.0,0.0,0.0,9762.0,10289.0,6631.0,9829.0,10373.0,129378.0
2019-02-15,102817.0,0.0,0.0,0.0,3394.0,3454.0,0.0,3390.0,0.0,3720.0,6748.0,6483.0,3711.0,61800.0
2019-03-15,130741.0,3390.0,0.0,20853.0,0.0,6684.0,0.0,10452.0,3701.0,0.0,10678.0,0.0,3669.0,118854.0
2019-04-15,127016.0,0.0,0.0,17092.0,0.0,0.0,0.0,13010.0,3414.0,3489.0,10139.0,2969.0,0.0,100226.0
2019-05-15,144837.0,0.0,0.0,6621.0,3497.0,6560.0,0.0,10734.0,0.0,0.0,14325.0,0.0,0.0,83474.0
2019-06-15,141864.0,0.0,0.0,0.0,0.0,3072.0,0.0,3310.0,0.0,6908.0,13506.0,0.0,0.0,53592.0
2019-07-15,156764.0,0.0,0.0,0.0,0.0,9963.0,0.0,3386.0,3694.0,6994.0,3297.0,0.0,0.0,54668.0
2019-08-15,138465.0,0.0,0.0,3249.0,0.0,6082.0,0.0,6688.0,3537.0,6051.0,15861.0,0.0,1335.0,85606.0
2019-09-15,160169.0,3404.0,0.0,6740.0,0.0,3230.0,0.0,3431.0,0.0,2924.0,37938.0,0.0,3303.0,121940.0
2019-10-15,177813.0,3402.0,0.0,14228.0,0.0,0.0,0.0,3456.0,3489.0,6621.0,13704.0,3528.0,26260.0,149376.0
2019-11-15,190523.0,3293.0,0.0,26946.0,0.0,6345.0,0.0,10099.0,3432.0,0.0,19985.0,7266.0,39957.0,234646.0
2019-12-15,220405.0,10407.0,0.0,14758.0,7752.0,12764.0,3455.0,13405.0,7013.0,6345.0,13874.0,536.0,30054.0,240726.0
2020-01-15,249571.0,6761.0,0.0,6563.0,11276.0,6308.0,0.0,6681.0,3282.0,0.0,24412.0,32637.0,30428.0,256696.0
2020-02-15,225699.0,9872.0,0.0,20520.0,0.0,16616.0,0.0,14099.0,6677.0,6187.0,20240.0,24303.0,28884.0,294796.0
2020-03-15,244145.0,3724.0,0.0,23491.0,8892.0,9895.0,0.0,13772.0,3583.0,0.0,23657.0,6489.0,20202.0,227410.0
2020-04-15,210443.0,3324.0,0.0,16336.0,3233.0,3135.0,2945.0,10305.0,3523.0,10777.0,22943.0,14030.0,0.0,181102.0
2020-05-15,182420.0,1348.0,0.0,9546.0,3430.0,6452.0,3473.0,6826.0,6258.0,0.0,29360.0,6661.0,0.0,146708.0
2020-06-15,108941.0,0.0,0.0,0.0,1076.0,12998.0,3049.0,6870.0,3385.0,0.0,9640.0,0.0,0.0,74036.0
2020-07-15,96128.0,0.0,0.0,0.0,6544.0,3232.0,0.0,6746.0,0.0,0.0,13679.0,3222.0,2908.0,72662.0
2020-08-15,110220.0,0.0,0.0,0.0,0.0,6734.0,0.0,0.0,0.0,0.0,3222.0,0.0,0.0,19912.0
2020-09-15,151055.0,0.0,0.0,0.0,7027.0,0.0,3308.0,6671.0,0.0,6853.0,15206.0,3611.0,3664.0,92680.0
2020-10-15,222650.0,3285.0,0.0,6639.0,0.0,0.0,6191.0,3603.0,3157.0,3564.0,14118.0,0.0,17191.0,115496.0
2020-11-15,280630.0,3633.0,0.0,3390.0,3543.0,3083.0,3621.0,6684.0,0.0,5830.0,9907.0,12817.0,26544.0,158104.0
2020-12-15,304209.0,0.0,3275.0,3752.0,3382.0,0.0,6291.0,3316.0,7033.0,3711.0,13583.0,20188.0,30378.0,189818.0
2021-01-15,305113.0,0.0,0.0,3587.0,600.0,0.0,0.0,2949.0,0.0,0.0,7377.0,26659.0,21436.0,125216.0
2021-02-15,208331.0,0.0,0.0,14851.0,0.0,0.0,6851.0,22777.0,7099.0,3360.0,3733.0,20652.0,34343.0,227332.0
2021-03-15,321004.0,3484.0,7367.0,33678.0,6805.0,10739.0,3228.0,24204.0,3507.0,0.0,13900.0,3619.0,17440.0,255942.0
2021-04-15,306755.0,0.0,3666.0,36120.0,0.0,6896.0,3078.0,17060.0,7382.0,7358.0,22974.0,0.0,13877.0,236822.0
2021-05-15,314855.0,2100.0,3364.0,11926.0,6796.0,2923.0,3049.0,26611.0,3581.0,10765.0,5234.0,3017.0,10586.0,179904.0
2021-06-15,271256.0,0.0,2923.0,3683.0,0.0,3425.0,3285.0,3030.0,10635.0,5538.0,7833.0,0.0,0.0,80704.0
2021-07-15,300030.0,0.0,3299.0,0.0,6651.0,6826.0,6469.0,10597.0,6619.0,3296.0,8630.0,5591.0,0.0,115956.0
2021-08-15,298097.0,0.0,2980.0,7111.0,3607.0,3401.0,1677.0,7347.0,0.0,6382.0,23068.0,0.0,0.0,111146.0
2021-09-15,284645.0,0.0,0.0,6578.0,799.0,0.0,3282.0,10424.0,0.0,3696.0,31274.0,24176.0,3099.0,166656.0
2021-10-15,297929.0,0.0,0.0,9333.0,1515.0,0.0,0.0,17157.0,3270.0,10459.0,35638.0,19385.0,3302.0,200118.0
2021-11-15,306229.0,0.0,9416.0,10021.0,7629.0,0.0,0.0,8829.0,7068.0,5380.0,22821.0,47330.0,30648.0,298284.0
2021-12-15,345195.0,0.0,3117.0,33892.0,5305.0,0.0,0.0,23354.0,7159.0,9630.0,32579.0,38420.0,60315.0,427542.0
2022-01-15,353631.0,13786.0,9084.0,50084.0,1802.0,7037.0,3518.0,16279.0,3695.0,2868.0,49379.0,45081.0,60060.0,525346.0
2022-02-15,316605.0,7691.0,5870.0,39646.0,8094.0,13629.0,3131.0,31591.0,7475.0,3703.0,39359.0,43697.0,25301.0,458374.0
