,Typ,Nr,Namn,Address1,Address3,Address4,Address5,Telefon
0,Butik,102,Fältöversten,Karlaplan 13,115 20,STOCKHOLM,Stockholms län,08/662 22 89
1,Butik,104,,Nybrogatan 47,114 39,STOCKHOLM,Stockholms län,08/662 50 16
2,Butik,106,Garnisonen,Karlavägen 100 A,115 26,STOCKHOLM,Stockholms län,08/662 64 85
3,Butik,110,,Hötorgshallen,111 57,STOCKHOLM,Stockholms län,08/56849241
4,Butik,113,Sergel,Drottninggatan 45,111 21,STOCKHOLM,Stockholms län,08/21 47 44
5,Butik,114,PK-Huset,Norrlandsgatan 3,111 47,STOCKHOLM,Stockholms län,08/796 98 10
6,Butik,116,,Drottninggatan 22,111 51,STOCKHOLM,Stockholms län,08/21 22 60
7,Butik,132,Marieberg,Rålambsvägen 7-9,112 59,STOCKHOLM,Stockholms län,08/13 30 95
8,Butik,133,,Kungsholmstorg 11 A,112 21,STOCKHOLM,Stockholms län,08/653 39 17
9,Butik,134,,Lindhagensgatan 118,112 51,STOCKHOLM,Stockholms län,08/656 14 30
11,Butik,137,,Fleminggatan 56,112 45,STOCKHOLM,Stockholms län,08/653 10 58
12,Butik,138,,Odengatan 92,113 22,STOCKHOLM,Stockholms län,08/33 10 51
13,Butik,140,Torsplan,Solnavägen 2b,113 65,STOCKHOLM,Stockholms län,08/31 73 49
14,Butik,143,Odenplan,Odengatan 58,113 22,STOCKHOLM,Stockholms län,08/32 35 29
15,Butik,144,Jarlaplan,Birger Jarlsgatan 84,114 20,STOCKHOLM,Stockholms län,08/24 31 15
16,Butik,145,,Sveavägen 66,111 34,STOCKHOLM,Stockholms län,08/411 94 86
17,Butik,146,,Vasagatan 25,111 20,STOCKHOLM,Stockholms län,08/21 25 23
22,Butik,163,Ringen,Götgatan 132,S-118 62,STOCKHOLM,Stockholms län,08/641 65 75
23,Butik,165,,Folkungagatan 56,S-116 22,STOCKHOLM,Stockholms län,08/640 20 90
24,Butik,166,Söderhallarna,Medborgarplatsen 3,118 26,STOCKHOLM,Stockholms län,08/641 86 75
25,Butik,167,,Folkungagatan 101,116 30,STOCKHOLM,Stockholms län,08/640 64 90
28,Butik,171,Liljeholmen,"Liljeholmstorget 3, plan 1",117 63,STOCKHOLM,Stockholms län,08/19 63 80
29,Butik,172,,Rosenlundsgatan 7,118 53,STOCKHOLM,Stockholms län,08/669 57 81
30,Butik,173,Hammarby Sjöstad,Lugnets Allé 26-28,120 66,STOCKHOLM,Stockholms län,08/640 00 44
31,Butik,174,,Långholmsgatan 21A,S-117 33,STOCKHOLM,Stockholms län,08/669 71 05
